,object,relation,subject
0,550 Alester Ave,address,Dish Parking
1,road block nearby,traffic_info,Dish Parking
2,2 miles,distance,Dish Parking
3,610 Amarillo Ave,address,Stanford Oval Parking
4,no traffic,traffic_info,Stanford Oval Parking
5,6 miles,distance,Stanford Oval Parking
6,409 Bollard St,address,Willows Market
7,car collision nearby,traffic_info,Willows Market
8,4 miles,distance,Willows Market
9,329 El Camino Real,address,The Westin
10,moderate traffic,traffic_info,The Westin
11,2 miles,distance,The Westin
12,580 Van Ness Ave,address,toms house
13,heavy traffic,traffic_info,toms house
14,1 miles,distance,toms house
15,915 Arbol Dr,address,Pizza Chicago
16,heavy traffic,traffic_info,Pizza Chicago
17,4 miles,distance,Pizza Chicago
18,200 Alester Ave,address,Valero
19,car collision nearby,traffic_info,Valero
20,6 miles,distance,Valero
21,271 Springer Street,address,Mandarin Roots
22,no traffic,traffic_info,Mandarin Roots
23,2 miles,distance,Mandarin Roots
24,383 University Ave,address,Town and Country
25,moderate traffic,traffic_info,Town and Country
26,4 miles,distance,Town and Country
27,91 El Camino Real,address,76
28,moderate traffic,traffic_info,76
29,4 miles,distance,76
30,773 Alger Dr,address,Stanford Shopping Center
31,moderate traffic,traffic_info,Stanford Shopping Center
32,2 miles,distance,Stanford Shopping Center
33,145 Amherst St,address,Teavana
34,moderate traffic,traffic_info,Teavana
35,3 miles,distance,Teavana
36,776 Arastradero Rd,address,Dominos
37,moderate traffic,traffic_info,Dominos
38,4 miles,distance,Dominos
39,481 Amaranta Ave,address,Palo Alto Garage R
40,road block nearby,traffic_info,Palo Alto Garage R
41,4 miles,distance,Palo Alto Garage R
42,214 El Camino Real,address,Stanford Express Care
43,no traffic,traffic_info,Stanford Express Care
44,5 miles,distance,Stanford Express Care
45,611 Ames Ave,address,Palo Alto Medical Foundation
46,no traffic,traffic_info,Palo Alto Medical Foundation
47,3 miles,distance,Palo Alto Medical Foundation
48,669 El Camino Real,address,P.F. Changs
49,moderate traffic,traffic_info,P.F. Changs
50,5 miles,distance,P.F. Changs
51,434 Arastradero Rd,address,Ravenswood Shopping Center
52,moderate traffic,traffic_info,Ravenswood Shopping Center
53,6 miles,distance,Ravenswood Shopping Center
54,593 Arrowhead Way,address,Chef Chu's
55,heavy traffic,traffic_info,Chef Chu's
56,8 miles,distance,Chef Chu's
58,no traffic,traffic_info,The Westin
59,5 miles,distance,The Westin
61,heavy traffic,traffic_info,Dish Parking
63,5671 barringer street,address,home
64,no traffic,traffic_info,home
65,1 miles,distance,home
66,583 Alester Ave,address,Philz
67,heavy traffic,traffic_info,Philz
68,4 miles,distance,Philz
72,10am,time,dentist appointment
73,-,room,dentist appointment
74,aunt,party,dentist appointment
75,-,agenda,dentist appointment
76,the 8th,date,dentist appointment
77,5pm,time,taking medicine
78,-,room,taking medicine
79,Marie,party,taking medicine
80,-,agenda,taking medicine
81,saturday,date,taking medicine
82,4pm,time,football activity
83,-,room,football activity
84,Alex,party,football activity
85,-,agenda,football activity
86,monday,date,football activity
87,4pm,time,yoga activity
88,-,room,yoga activity
89,Marie,party,yoga activity
90,-,agenda,yoga activity
91,the 4th,date,yoga activity
92,5pm,time,lab appointment
93,-,room,lab appointment
94,father,party,lab appointment
95,-,agenda,lab appointment
96,the 13th,date,lab appointment
97,7pm,time,dinner
98,-,room,dinner
99,Jon,party,dinner
100,-,agenda,dinner
101,the 8th,date,dinner
102,"stormy, low of 50F, high of 70F",monday,manhattan
103,"cloudy, low of 20F, high of 40F",tuesday,manhattan
104,"clear skies, low of 50F, high of 60F",wednesday,manhattan
105,"stormy, low of 50F, high of 70F",thursday,manhattan
106,"windy, low of 20F, high of 40F",friday,manhattan
107,"snow, low of 60F, high of 70F",saturday,manhattan
108,"hail, low of 30F, high of 50F",sunday,manhattan
109,"overcast, low of 50F, high of 70F",monday,camarillo
110,"stormy, low of 90F, high of 100F",tuesday,camarillo
111,"frost, low of 50F, high of 60F",wednesday,camarillo
112,"snow, low of 80F, high of 90F",thursday,camarillo
113,"clear skies, low of 70F, high of 80F",friday,camarillo
114,"blizzard, low of 40F, high of 50F",saturday,camarillo
115,"dry, low of 70F, high of 80F",sunday,camarillo
116,"dry, low of 50F, high of 70F",monday,menlo park
117,"warm, low of 80F, high of 90F",tuesday,menlo park
118,"hail, low of 20F, high of 40F",wednesday,menlo park
119,"blizzard, low of 40F, high of 60F",thursday,menlo park
120,"cloudy, low of 70F, high of 80F",friday,menlo park
121,"foggy, low of 50F, high of 60F",saturday,menlo park
122,"stormy, low of 90F, high of 100F",sunday,menlo park
123,"hot, low of 70F, high of 90F",monday,new york
124,"foggy, low of 70F, high of 90F",tuesday,new york
125,"dry, low of 40F, high of 50F",wednesday,new york
126,"hail, low of 40F, high of 50F",thursday,new york
127,"cloudy, low of 70F, high of 90F",friday,new york
128,"clear skies, low of 70F, high of 90F",saturday,new york
129,"rain, low of 20F, high of 30F",sunday,new york
130,"windy, low of 70F, high of 80F",monday,corona
131,"overcast, low of 40F, high of 50F",tuesday,corona
132,"hail, low of 90F, high of 100F",wednesday,corona
133,"rain, low of 80F, high of 100F",thursday,corona
134,"hail, low of 60F, high of 70F",friday,corona
135,"warm, low of 60F, high of 80F",saturday,corona
136,"frost, low of 20F, high of 30F",sunday,corona
137,"cloudy, low of 90F, high of 100F",monday,seattle
138,"dry, low of 30F, high of 40F",tuesday,seattle
139,"stormy, low of 80F, high of 100F",wednesday,seattle
140,"snow, low of 20F, high of 30F",thursday,seattle
141,"foggy, low of 20F, high of 30F",friday,seattle
142,"drizzle, low of 40F, high of 60F",saturday,seattle
143,"drizzle, low of 50F, high of 60F",sunday,seattle
144,"drizzle, low of 70F, high of 80F",monday,grand rapids
145,"overcast, low of 40F, high of 60F",tuesday,grand rapids
146,"overcast, low of 60F, high of 80F",wednesday,grand rapids
147,"snow, low of 20F, high of 40F",thursday,grand rapids
148,"foggy, low of 50F, high of 60F",friday,grand rapids
149,"dry, low of 90F, high of 100F",saturday,grand rapids
150,"cloudy, low of 30F, high of 40F",sunday,grand rapids
151,"clear skies, low of 90F, high of 100F",monday,danville
152,"stormy, low of 20F, high of 40F",tuesday,danville
153,"raining, low of 40F, high of 60F",wednesday,danville
154,"stormy, low of 80F, high of 90F",thursday,danville
155,"misty, low of 40F, high of 50F",friday,danville
156,"blizzard, low of 40F, high of 50F",saturday,danville
157,"frost, low of 30F, high of 50F",sunday,danville
158,"drizzle, low of 50F, high of 60F",monday,camarillo
159,"clear skies, low of 30F, high of 40F",tuesday,camarillo
160,"misty, low of 70F, high of 80F",wednesday,camarillo
161,"overcast, low of 20F, high of 30F",thursday,camarillo
162,"overcast, low of 40F, high of 50F",friday,camarillo
163,"raining, low of 40F, high of 50F",saturday,camarillo
164,"frost, low of 50F, high of 60F",sunday,camarillo
165,"clear skies, low of 60F, high of 70F",monday,san jose
166,"misty, low of 30F, high of 50F",tuesday,san jose
167,"hail, low of 90F, high of 100F",wednesday,san jose
168,"clear skies, low of 20F, high of 30F",thursday,san jose
169,"misty, low of 30F, high of 40F",friday,san jose
170,"clear skies, low of 40F, high of 60F",saturday,san jose
171,"foggy, low of 90F, high of 100F",sunday,san jose
172,"drizzle, low of 60F, high of 70F",monday,los angeles
173,"warm, low of 60F, high of 70F",tuesday,los angeles
174,"clear skies, low of 50F, high of 60F",wednesday,los angeles
175,"clear skies, low of 90F, high of 100F",thursday,los angeles
176,"foggy, low of 90F, high of 100F",friday,los angeles
177,"raining, low of 90F, high of 100F",saturday,los angeles
178,"cloudy, low of 50F, high of 60F",sunday,los angeles
179,"clear skies, low of 50F, high of 70F",monday,durham
180,"dew, low of 40F, high of 60F",tuesday,durham
181,"clear skies, low of 60F, high of 70F",wednesday,durham
182,"drizzle, low of 60F, high of 80F",thursday,durham
183,"humid, low of 50F, high of 70F",friday,durham
184,"drizzle, low of 30F, high of 50F",saturday,durham
185,"misty, low of 50F, high of 60F",sunday,durham
186,"rain, low of 30F, high of 50F",monday,san francisco
187,"foggy, low of 50F, high of 70F",tuesday,san francisco
188,"rain, low of 50F, high of 60F",wednesday,san francisco
189,"stormy, low of 50F, high of 60F",thursday,san francisco
190,"hail, low of 90F, high of 100F",friday,san francisco
191,"blizzard, low of 40F, high of 60F",saturday,san francisco
192,"hot, low of 80F, high of 90F",sunday,san francisco
193,"misty, low of 70F, high of 80F",monday,boston
194,"clear skies, low of 80F, high of 90F",tuesday,boston
195,"snow, low of 90F, high of 100F",wednesday,boston
196,"clear skies, low of 80F, high of 100F",thursday,boston
197,"hail, low of 30F, high of 40F",friday,boston
198,"blizzard, low of 20F, high of 30F",saturday,boston
199,"cloudy, low of 70F, high of 80F",sunday,boston
200,"hail, low of 90F, high of 100F",monday,cleveland
201,"foggy, low of 60F, high of 80F",tuesday,cleveland
202,"raining, low of 80F, high of 90F",wednesday,cleveland
203,"snow, low of 30F, high of 50F",thursday,cleveland
204,"drizzle, low of 60F, high of 70F",friday,cleveland
205,"raining, low of 40F, high of 60F",saturday,cleveland
206,"drizzle, low of 80F, high of 90F",sunday,cleveland
207,"rain, low of 60F, high of 80F",monday,new york
208,"stormy, low of 90F, high of 100F",tuesday,new york
209,"windy, low of 50F, high of 70F",wednesday,new york
210,"windy, low of 70F, high of 80F",thursday,new york
211,"foggy, low of 70F, high of 90F",friday,new york
212,"dry, low of 40F, high of 60F",saturday,new york
213,"dry, low of 70F, high of 90F",sunday,new york
214,"raining, low of 90F, high of 100F",monday,brentwood
215,"drizzle, low of 70F, high of 90F",tuesday,brentwood
216,"dew, low of 50F, high of 70F",wednesday,brentwood
217,"foggy, low of 20F, high of 40F",thursday,brentwood
218,"windy, low of 70F, high of 80F",friday,brentwood
219,"dry, low of 20F, high of 30F",saturday,brentwood
220,"rain, low of 80F, high of 100F",sunday,brentwood
221,"raining, low of 40F, high of 60F",monday,inglewood
222,"snow, low of 30F, high of 50F",tuesday,inglewood
223,"windy, low of 60F, high of 70F",wednesday,inglewood
224,"overcast, low of 70F, high of 80F",thursday,inglewood
225,"cloudy, low of 90F, high of 100F",friday,inglewood
226,"overcast, low of 30F, high of 40F",saturday,inglewood
227,"humid, low of 90F, high of 100F",sunday,inglewood
228,"windy, low of 60F, high of 70F",monday,mountain view
229,"misty, low of 60F, high of 70F",tuesday,mountain view
230,"cloudy, low of 80F, high of 90F",wednesday,mountain view
231,"hail, low of 80F, high of 100F",thursday,mountain view
232,"foggy, low of 90F, high of 100F",friday,mountain view
233,"misty, low of 90F, high of 100F",saturday,mountain view
234,"cloudy, low of 60F, high of 70F",sunday,mountain view
235,"foggy, low of 30F, high of 40F",monday,menlo park
236,"rain, low of 20F, high of 40F",tuesday,menlo park
237,"misty, low of 70F, high of 90F",wednesday,menlo park
238,"clear skies, low of 30F, high of 50F",thursday,menlo park
239,"drizzle, low of 90F, high of 100F",friday,menlo park
240,"drizzle, low of 80F, high of 90F",saturday,menlo park
241,"windy, low of 20F, high of 30F",sunday,menlo park
242,"humid, low of 60F, high of 70F",monday,compton
243,"stormy, low of 70F, high of 90F",tuesday,compton
244,"dry, low of 30F, high of 40F",wednesday,compton
245,"foggy, low of 70F, high of 90F",thursday,compton
246,"cloudy, low of 80F, high of 90F",friday,compton
247,"hail, low of 70F, high of 80F",saturday,compton
248,"foggy, low of 60F, high of 80F",sunday,compton
249,"dry, low of 40F, high of 60F",monday,brentwood
250,"overcast, low of 30F, high of 40F",tuesday,brentwood
251,"raining, low of 30F, high of 50F",wednesday,brentwood
252,"cloudy, low of 50F, high of 60F",thursday,brentwood
253,"dry, low of 20F, high of 40F",friday,brentwood
254,"cloudy, low of 70F, high of 90F",saturday,brentwood
255,"humid, low of 90F, high of 100F",sunday,brentwood
256,"foggy, low of 80F, high of 90F",monday,corona
257,"dry, low of 40F, high of 60F",tuesday,corona
258,"clear skies, low of 80F, high of 100F",wednesday,corona
259,"stormy, low of 40F, high of 60F",thursday,corona
260,"dry, low of 60F, high of 70F",friday,corona
261,"hail, low of 50F, high of 60F",saturday,corona
262,"blizzard, low of 40F, high of 50F",sunday,corona
263,"dew, low of 60F, high of 70F",monday,danville
264,"windy, low of 90F, high of 100F",tuesday,danville
265,"raining, low of 70F, high of 90F",wednesday,danville
266,"cloudy, low of 70F, high of 80F",thursday,danville
267,"misty, low of 60F, high of 70F",friday,danville
268,"hot, low of 60F, high of 80F",saturday,danville
269,"hail, low of 60F, high of 70F",sunday,danville
270,"dry, low of 40F, high of 60F",monday,seattle
271,"raining, low of 80F, high of 90F",tuesday,seattle
272,"hail, low of 20F, high of 30F",wednesday,seattle
273,"frost, low of 20F, high of 40F",thursday,seattle
274,"raining, low of 20F, high of 40F",friday,seattle
275,"clear skies, low of 70F, high of 80F",saturday,seattle
276,"humid, low of 80F, high of 100F",sunday,seattle
277,"dry, low of 80F, high of 90F",monday,inglewood
278,"overcast, low of 20F, high of 40F",tuesday,inglewood
279,"cloudy, low of 60F, high of 70F",wednesday,inglewood
280,"misty, low of 80F, high of 100F",thursday,inglewood
281,"blizzard, low of 40F, high of 60F",friday,inglewood
282,"drizzle, low of 30F, high of 50F",saturday,inglewood
283,"blizzard, low of 30F, high of 40F",sunday,inglewood
284,"foggy, low of 80F, high of 100F",monday,oakland
285,"dew, low of 30F, high of 40F",tuesday,oakland
286,"frost, low of 30F, high of 40F",wednesday,oakland
287,"rain, low of 90F, high of 100F",thursday,oakland
288,"cloudy, low of 40F, high of 60F",friday,oakland
289,"cloudy, low of 60F, high of 80F",saturday,oakland
290,"windy, low of 30F, high of 40F",sunday,oakland
291,"clear skies, low of 60F, high of 80F",monday,mountain view
292,"stormy, low of 70F, high of 80F",tuesday,mountain view
293,"foggy, low of 20F, high of 30F",wednesday,mountain view
294,"warm, low of 80F, high of 100F",thursday,mountain view
